Rank,Name,Country,Sales,Profit,Assets,Market Value,Year
1,ICBC,China,151.381,41.9837,3473.238,229.805,2017
2,China Construction Bank,China,134.242,34.9814,3016.578,200.458,2017
3,Berkshire Hathaway,United States,222.935,24.074,620.854,409.908,2017
4,JPMorgan Chase,United States,102.494,24.231,2512.986,306.616,2017
5,Wells Fargo,United States,97.573,21.938,1943.443,274.385,2017
6,Agricultural Bank of China,China,115.698,27.7975,2816.039,149.229,2017
7,Bank of America,United States,92.214,16.563,2196.847,231.876,2017
8,Bank of China,China,113.107,24.8566,2611.539,141.321,2017
9,Apple,United States,217.481,45.217,331.141,752.039,2017
10,Toyota Motor,Japan,249.902,17.1115,412.496,171.85,2017
11,AT&T,United States,163.786,12.976,403.821,249.286,2017
12,Citigroup,United States,84.038,14.717,1795.099,164.316,2017
13,ExxonMobil,United States,197.518,7.84,330.314,343.165,2017
14,General Electric,United States,119.69,10.02,365.183,261.174,2017
15,Samsung Electronics,South Korea,173.995,19.3207,217.068,254.303,2017
16,Ping An Insurance Group,China,106.606,9.4603,801.022,100.811,2017
17,Wal-Mart Stores,United States,485.252,13.643,198.825,221.106,2017
18,Verizon Communications,United States,125.98,13.127,244.18,198.352,2017
19,Microsoft,United States,85.27,16.768,224.61,507.544,2017
20,Royal Dutch Shell,Netherlands,234.751,4.6507,411.275,228.793,2017
21,Allianz,Germany,115.725,7.614,935.871,83.721,2017
22,China Mobile,Hong Kong,106.763,16.4234,218.864,225.308,2017
23,BNP Paribas,France,74.702,8.3706,2190.672,80.499,2017
24,Alphabet,United States,89.92,19.478,167.497,579.499,2017
25,China Petroleum & Chemical,China,255.722,6.9866,216.711,105.122,2017
26,Total,France,128.067,6.1561,230.978,128.122,2017
27,AXA Group,France,132.153,6.1527,925.854,60.77,2017
28,Daimler,Germany,169.537,9.4314,256.292,76.099,2017
29,Volkswagen Group,Germany,240.34,5.6903,458.742,72.941,2017
30,Mitsubishi UFJ Financial,Japan,49.173,8.1545,2589.758,83.858,2017
31,Comcast,United States,80.403,8.695,180.5,193.528,2017
32,Johnson & Johnson,United States,71.937,16.375,141.208,338.644,2017
33,Banco Santander,Spain,48.336,6.8628,1412.442,89.409,2017
34,Bank of Communications,China,52.995,10.141,1209.176,62.164,2017
35,Nestle,Switzerland,90.816,8.6594,129.779,229.485,2017
36,UnitedHealth Group,United States,184.871,7.237,125.037,160.185,2017
37,Nippon Telegraph & Tel,Japan,104.972,7.3846,180.257,92.23,2017
38,ItaÃº Unibanco Holding,Brazil,61.283,6.6736,419.923,79.208,2017
39,Softbank,Japan,82.136,8.307,213.204,78.632,2017
40,Gazprom,Russia,91.353,12.1412,265.393,51.815,2017
41,General Motors,United States,166.38,9.427,221.69,50.792,2017
42,China Merchants Bank,China,44.491,9.3814,855.07,66.376,2017
43,IBM,United States,79.918,11.872,117.47,162.365,2017
44,Royal Bank of Canada,Canada,35.285,8.3485,891.096,107.205,2017
45,Japan Post Holdings,Japan,123.728,3.1245,2522.131,55.145,2017
46,Procter & Gamble,United States,65.231,9.533,117.033,228.115,2017
47,Pfizer,United States,52.824,7.131,171.615,203.07,2017
48,HSBC Holdings,United Kingdom,62.087,2.479,2374.986,162.638,2017
49,Goldman Sachs Group,United States,36.854,7.398,860.165,90.648,2017
50,Siemens,Germany,88.354,6.4469,133.141,109.773,2017
51,BMW Group,Germany,104.163,7.5918,210.341,57.732,2017
52,China Life Insurance,China,82.836,2.8798,388.746,98.104,2017
53,ING Group,Netherlands,53.581,5.1173,891.349,57.932,2017
54,Intel,United States,59.387,10.316,113.327,170.35,2017
55,Postal Savings Bank Of China,China,48.036,6.0097,1189.391,55.157,2017
56,Sberbank,Russia,43.044,8.0677,415.579,63.903,2017
57,TD Bank Group,Canada,31.874,6.9338,910.361,92.001,2017
58,Cisco Systems,United States,48.57,9.832,126.248,165.059,2017
59,Commonwealth Bank,Australia,30.93,7.0652,703.622,109.902,2017
60,Morgan Stanley,United States,37.913,5.975,815.992,78.286,2017
61,Novartis,Switzerland,48.52,6.6996,130.387,193.163,2017
62,Banco Bradesco,Brazil,70.15,4.3271,362.432,53.511,2017
63,Industrial Bank,China,44.297,8.1064,872.1,45.126,2017
64,Ford Motor,United States,151.8,4.596,237.951,44.718,2017
65,Shanghai Pudong Development,China,40.06,7.9926,842.832,50.451,2017
66,CVS Health,United States,177.526,5.291,94.462,79.839,2017
67,Walt Disney,United States,54.943,8.99,91.576,178.017,2017
68,Prudential,United Kingdom,96.936,2.592,568.951,53.669,2017
69,Prudential Financial,United States,56.333,4.318,783.962,45.559,2017
70,Oracle,United States,37.429,8.917,125.382,182.239,2017
71,China State Construction Engineering,China,140.824,4.8643,201.364,43.181,2017
72,Citic Pacific,Hong Kong,49.059,5.5548,933.555,41.408,2017
73,Boeing,United States,94.571,4.89,89.997,108.756,2017
74,Honda Motor,Japan,127.865,3.9313,161.802,51.382,2017
75,China Minsheng Banking,China,40.151,7.2263,848.682,43.653,2017
76,Westpac Banking Group,Australia,27.764,5.4759,642.677,86.067,2017
77,Deutsche Telekom,Germany,80.857,2.9591,156.615,80.001,2017
78,China Citic Bank,China,39.664,6.2891,853.45,43.117,2017
79,Roche Holding,Switzerland,51.338,9.7202,75.583,219.267,2017
80,UBS,Switzerland,37.975,3.3558,919.974,59.983,2017
81,Bank of Nova Scotia,Canada,26.697,5.5487,680.339,70.479,2017
82,Rosneft,Russia,74.867,2.7017,193.189,62.376,2017
83,Amazon.com,United States,135.987,2.371,86.022,427.011,2017
84,PepsiCo,United States,62.801,6.329,74.129,159.406,2017
85,Sumitomo Mitsui Financial,Japan,30.493,5.2009,1648.785,48.067,2017
86,Coca-Cola,United States,41.478,6.527,87.27,182.883,2017
87,United Technologies,United States,57.383,5.044,89.706,90.583,2017
88,Sanofi,France,37.413,5.2091,110.403,116.109,2017
89,Bayer,Germany,51.832,5.0122,90.086,94.382,2017
90,Mizuho Financial,Japan,28.974,6.0382,1752.33,44.429,2017
91,Zurich Insurance Group,Switzerland,67.317,3.2101,364.332,40,2017
92,ANZ,Australia,26.528,4.2019,701.007,68.836,2017
93,BASF,Germany,63.662,4.4867,83.865,90.952,2017
94,Walgreens Boots Alliance,United States,116.081,4.247,72.505,88.995,2017
95,Nissan Motor,Japan,105.939,4.4651,157.269,38.372,2017
96,US Bancorp,United States,22.006,5.87,450.954,86.608,2017
97,American Express,United States,34.001,5.365,158.893,70.092,2017
98,Hon Hai Precision,Taiwan,135.151,4.61,80.426,54.375,2017
99,Enel,Italy,75.89,2.8429,164.115,47.494,2017
100,Merck,United States,39.555,3.92,95.377,173.328,2017
101,National Australia Bank,Australia,24.181,4.3476,595.327,65.024,2017
102,PetroChina,China,214.76,1.1621,344.91,204.477,2017
103,Unilever,Netherlands,58.311,5.7345,59.518,143.891,2017
104,Hyundai Motor,South Korea,80.719,4.66,148.068,34.221,2017
105,BBVA-Banco Bilbao Vizcaya,Spain,27.273,3.844,771.925,49.646,2017
106,Reliance Industries,India,41.792,4.3491,97.895,71.165,2017
107,Charter Communications,United States,29.003,3.522,153.237,101.619,2017
108,SAIC Motor,China,112.725,4.818,84.989,43.491,2017
109,Chubb,Switzerland,31.944,4.135,159.786,64.031,2017
110,TelefÃ³nica,Spain,57.563,2.6207,130.41,55.893,2017
111,AIA Group,Hong Kong,26.455,4.164,183.028,77.076,2017
112,SociÃ©tÃ© GÃ©nÃ©rale,France,27.985,4.0066,1457.875,39.893,2017
113,Dow Chemical,United States,48.137,4.294,79.511,77.033,2017
114,Home Depot,United States,94.595,7.957,42.966,176.728,2017
115,Lloyds Banking Group,United Kingdom,23.405,2.8227,1010.506,55.869,2017
116,Medtronic,Ireland,29.361,3.969,97.578,110.017,2017
117,Kraft Heinz Company,United States,26.484,3.632,120.48,110.395,2017
118,Saudi Basic Industries,Saudi Arabia,35.413,4.7561,84.464,80.696,2017
119,Facebook,United States,27.638,9.487,64.961,407.3,2017
120,Munich Re,Germany,68.764,2.854,286.949,30.461,2017
121,Intesa Sanpaolo,Italy,24.813,3.4414,764.799,45.265,2017
122,Barclays,United Kingdom,29.187,2.3626,1498.999,45.427,2017
123,Rio Tinto,United Kingdom,33.926,4.6835,89.263,72.901,2017
124,BHP Billiton,Australia,33.95,2.4336,119.535,98.308,2017
125,CK Hutchison,Hong Kong,33.474,4.2523,130.717,47.389,2017
126,Anheuser-Busch InBev,Belgium,45.558,1.2467,261.139,213.102,2017
127,Taiwan Semiconductor,Taiwan,29.392,10.364,58.533,161.734,2017
128,Capital One Financial,United States,27.906,3.727,357.033,40.325,2017
129,LukOil,Russia,74.606,3.0867,83.185,44.57,2017
130,Swiss Re,Switzerland,43.621,3.5564,207.604,32.12,2017
131,Amgen,United States,22.683,7.722,77.626,120.322,2017
132,Banco do Brasil,Brazil,57.272,2.3046,430.57,29.044,2017
133,Bank of Montreal,Canada,19.703,3.8341,531.071,48.552,2017
134,Gilead Sciences,United States,30.317,13.501,56.977,87.036,2017
135,China Communications Construction,China,64.127,2.4892,115.327,38.839,2017
136,Honeywell International,United States,39.302,4.742,54.146,94.594,2017
137,Manulife,Canada,38.918,2.2107,511.337,34.377,2017
138,Korea Electric Power,South Korea,51.88,6.0754,147.24,25.493,2017
139,Generali Group,Italy,90.542,2.302,553.003,23.711,2017
140,Alibaba,China,21.493,5.7136,70.679,264.865,2017
141,KDDI,Japan,43.156,5.1296,52.308,68.324,2017
142,China Telecom,China,53.047,2.7339,93.873,40.414,2017
143,AbbVie,United States,25.638,5.923,66.099,104.466,2017
144,Tokio Marine Holdings,Japan,44.613,2.7771,189.512,30.563,2017
145,Iberdrola,Spain,32.318,2.9922,112.548,46.426,2017
146,EDF,France,78.765,2.51,297.06,23.26,2017
147,PNC Financial Services,United States,16.064,3.877,369.353,57.935,2017
148,Tencent Holdings,China,22.831,6.185,56.968,277.122,2017
149,Allergan,Ireland,14.967,14.9734,128.986,80.068,2017
150,China Everbright Bank,China,26.128,4.577,578.465,26.791,2017
151,Credit Agricole,France,18.645,3.542,1607.684,36.512,2017
152,Lockheed Martin,United States,49.919,3.753,47.806,78.319,2017
153,Time Warner,United States,29.318,3.916,65.966,76.241,2017
154,Duke Energy,United States,22.743,2.666,132.761,57.55,2017
155,Anthem,United States,85.197,2.4698,65.083,44.046,2017
156,Vale,Brazil,27.148,3.8186,99.148,45.403,2017
157,Nordea Bank,Sweden,15.068,4.1712,649.58,45.411,2017
158,Express Scripts,United States,100.488,3.4044,51.745,39.927,2017
159,United Parcel Service,United States,60.502,3.431,40.377,91.344,2017
160,Aetna,United States,63.164,2.2603,69.146,45.144,2017
161,China Shenhua Energy,China,26.455,3.416,82.26,54.095,2017
162,VINCI,France,42.641,2.771,72.857,43.568,2017
163,Bank of New York Mellon,United States,15.618,3.495,333.469,48.83,2017
164,Renault,France,56.685,3.7821,107.693,24.586,2017
165,China Railway Group,China,95.353,1.8806,108.602,29.633,2017
166,AIRBUS,France,73.652,1.1007,126.173,59.472,2017
167,China Railway Construction,China,93.213,2.0993,109.266,26.469,2017
168,China Vanke,China,33.735,3.1221,119.53,30.546,2017
169,Jardine Matheson,Hong Kong,37.051,2.503,71.523,47.648,2017
170,Qualcomm,United States,23.778,4.889,52.366,83.187,2017
171,Hewlett Packard Enterprise,United States,48.764,3.161,76.662,30.433,2017
172,British American Tobacco,United Kingdom,19.904,6.2715,49.146,123.765,2017
173,Visa,United States,15.978,5.99,63.37,206.396,2017
