Rank,Name,Country,Sales,Profit,Assets,Market Value,Year
1,ICBC,China,165.338,43.6694,4210.927,311.014,2018
2,China Construction Bank,China,143.202,37.2031,3631.583,261.166,2018
3,JPMorgan Chase,United States,118.18,26.496,2609.785,387.668,2018
4,Berkshire Hathaway,United States,235.165,39.742,702.651,491.888,2018
5,Agricultural Bank of China,China,129.345,29.6387,3439.314,184.125,2018
6,Bank of America,United States,102.978,20.294,2328.478,313.51,2018
7,Wells Fargo,United States,102.063,21.693,1915.388,265.328,2018
8,Apple,United States,247.535,53.318,367.502,926.946,2018
9,Bank of China,China,118.15,26.3535,3204.207,158.628,2018
10,Ping An Insurance Group,China,141.623,13.8884,1066.373,181.411,2018
11,Royal Dutch Shell,Netherlands,321.766,15.159,410.719,306.459,2018
12,Toyota Motor,Japan,265.165,22.5022,473.044,200.682,2018
13,ExxonMobil,United States,230.055,20.35,348.826,344.126,2018
14,Samsung Electronics,South Korea,224.644,40.9941,293.154,325.865,2018
15,AT&T,United States,159.219,30.643,446.343,198.293,2018
16,Volkswagen Group,Germany,271.951,13.1235,531.393,101.428,2018
17,HSBC Holdings,United Kingdom,63.169,10.7503,2652.123,200.293,2018
18,Verizon Communications,United States,127.992,31.196,264.516,200.893,2018
19,BNP Paribas,France,117.774,8.5012,2353.87,93.581,2018
20,Microsoft,United States,103.313,14.211,245.497,750.649,2018
21,Chevron,United States,139.397,10.151,256.442,248.119,2018
22,Allianz,Germany,122.549,7.6733,1128.585,100.405,2018
23,Alphabet,United States,117.884,16.637,206.935,766.35,2018
24,Walmart,United States,500.343,9.862,204.522,246.178,2018
25,China Mobile,Hong Kong,109.493,16.882,233.74,192.632,2018
26,Total,France,155.776,8.3911,257.022,168.012,2018
27,Sinopec,China,326.585,8.0357,249.937,138.569,2018
28,UnitedHealth Group,United States,207.624,11.222,155.569,228.983,2018
29,Daimler,Germany,193.217,11.7936,323.196,85.678,2018
30,PetroChina,China,282.393,4.138,381.121,220.199,2018
31,Banco Santander,Spain,56.068,7.9536,1769.144,106.323,2018
32,China Merchants Bank,China,49.936,11.0236,993.732,112.449,2018
33,AXA Group,France,149.895,6.745,1029.142,64.058,2018
34,Comcast,United States,86.854,23.266,190.876,146.792,2018
